group_id,title,description,control_id,control_title,control_description,reason,resource,status,severity,account_id,region,audit_manager_control_tower,aws_foundational_security,category,choice_id,cis,cis_controls_v8_ig1,cis_item_id,cis_level,cis_section_id,cis_type,cis_version,cisa_cyber_essentials,fedramp_low_rev_4,fedramp_moderate_rev_4,ffiec,gdpr,gxp_21_cfr_part_11,gxp_eu_annex_11,hipaa_final_omnibus_security_rule_2013,hipaa_security_rule_2003,nist_800_171_rev_2,nist_800_53_rev_4,nist_800_53_rev_5,nist_csf,pci_dss_v321,pillar_id,plugin,question_id,rbi_cyber_security,service,severity,soc_2,type,war_severity
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.cloudfront_distribution_logging_enabled,CloudFront distributions access logs should be enabled,This control checks if AWS CloudFront distributions are configured to capture information from AWS Simple Storage Service (AWS S3) server access logs. This rule is non-compliant if a CloudFront distribution does not have logging configured.,E1JHPWDKTA9VB9 logging disabled.,arn:aws:cloudfront::904513543354:distribution/E1JHPWDKTA9VB9,alarm,,904513543354,global,,,Compliance,,,true,,,,,,,,,,,,,true,true,,,,true,,,aws,,,AWS/CloudFront,,,,Low
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.cloudfront_distribution_logging_enabled,CloudFront distributions access logs should be enabled,This control checks if AWS CloudFront distributions are configured to capture information from AWS Simple Storage Service (AWS S3) server access logs. This rule is non-compliant if a CloudFront distribution does not have logging configured.,E92M9ZPXI6DP logging disabled.,arn:aws:cloudfront::904513543354:distribution/E92M9ZPXI6DP,alarm,,904513543354,global,,,Compliance,,,true,,,,,,,,,,,,,true,true,,,,true,,,aws,,,AWS/CloudFront,,,,Low
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.cloudfront_distribution_logging_enabled,CloudFront distributions access logs should be enabled,This control checks if AWS CloudFront distributions are configured to capture information from AWS Simple Storage Service (AWS S3) server access logs. This rule is non-compliant if a CloudFront distribution does not have logging configured.,EADC4L055O4UT logging disabled.,arn:aws:cloudfront::904513543354:distribution/EADC4L055O4UT,alarm,,904513543354,global,,,Compliance,,,true,,,,,,,,,,,,,true,true,,,,true,,,aws,,,AWS/CloudFront,,,,Low
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.cloudfront_distribution_logging_enabled,CloudFront distributions access logs should be enabled,This control checks if AWS CloudFront distributions are configured to capture information from AWS Simple Storage Service (AWS S3) server access logs. This rule is non-compliant if a CloudFront distribution does not have logging configured.,E3CVEP5CA7HCD7 logging disabled.,arn:aws:cloudfront::904513543354:distribution/E3CVEP5CA7HCD7,alarm,,904513543354,global,,,Compliance,,,true,,,,,,,,,,,,,true,true,,,,true,,,aws,,,AWS/CloudFront,,,,Low
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.cloudfront_distribution_logging_enabled,CloudFront distributions access logs should be enabled,This control checks if AWS CloudFront distributions are configured to capture information from AWS Simple Storage Service (AWS S3) server access logs. This rule is non-compliant if a CloudFront distribution does not have logging configured.,EWKPQMNLDSNH5 logging disabled.,arn:aws:cloudfront::904513543354:distribution/EWKPQMNLDSNH5,alarm,,904513543354,global,,,Compliance,,,true,,,,,,,,,,,,,true,true,,,,true,,,aws,,,AWS/CloudFront,,,,Low
aws_well_architected.benchmark.well_architected_framework_ops04_bp01,BP01 Implement application telemetry,"Application telemetry is the foundation for observability of your workload. Your application should emit telemetry that provides insight into the state of the application and the achievement of business outcomes. From troubleshooting to measuring the impact of a new feature, application telemetry informs the way you build, operate, and evolve your workload.",aws_compliance.control.ecs_task_definition_logging_enabled,ECS task definitions should have logging enabled,"Ensure logging is enabled for task definitions so that you can access your containerized application logs for debugging and auditing purposes. On top of centralized logging, these log drivers often include additional capabilities that are useful for operation.",Day2SecurityBot2SecurityHubTask:1 logging enabled.,arn:aws:ecs:us-east-1:904513543354:task-definition/Day2SecurityBot2SecurityHubTask:1,ok,,904513543354,us-east-1,,,Compliance,,,,,,,,,,,,,,,,,,,,,,,,aws,,,AWS/ECS,,,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudtrail_trail_enabled,At least one enabled trail should be present in a region,"AWS CloudTrail can help in non-repudiation by recording AWS Management Console actions and API calls. You can identify the users and AWS accounts that called an AWS service, the source IP address where the calls generated, and the timings of the calls. Details of captured data are seen within AWS CloudTrail Record Contents.",MC-CloudTrail-Log enabled.,arn:aws:cloudtrail:us-east-1:904513543354:trail/MC-CloudTrail-Log,ok,,904513543354,us-east-1,,,Compliance,,,true,,,,,,true,true,true,true,,true,true,true,true,true,true,true,true,true,,aws,,true,AWS/CloudTrail,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudtrail_trail_enabled,At least one enabled trail should be present in a region,"AWS CloudTrail can help in non-repudiation by recording AWS Management Console actions and API calls. You can identify the users and AWS accounts that called an AWS service, the source IP address where the calls generated, and the timings of the calls. Details of captured data are seen within AWS CloudTrail Record Contents.",jetsweep-sandbox-cloudtrail-logs enabled.,arn:aws:cloudtrail:us-east-1:904513543354:trail/jetsweep-sandbox-cloudtrail-logs,ok,,904513543354,us-east-1,,,Compliance,,,true,,,,,,true,true,true,true,,true,true,true,true,true,true,true,true,true,,aws,,true,AWS/CloudTrail,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudtrail_trail_integrated_with_logs,CloudTrail trails should be integrated with CloudWatch logs,Use AWS CloudWatch to centrally collect and manage log event activity. Inclusion of AWS CloudTrail data provides details of API call activity within your AWS account.,MC-CloudTrail-Log not integrated with CloudWatch logs.,arn:aws:cloudtrail:us-east-1:904513543354:trail/MC-CloudTrail-Log,alarm,,904513543354,us-east-1,,,Compliance,,,true,,,,,,true,true,true,true,true,true,,true,true,true,true,true,true,true,,aws,,true,AWS/CloudTrail,,true,,
aws_well_architected.benchmark.well_architected_framework_ops04_bp02,BP02 Implement and configure workload telemetry,"Design and configure your workload to emit information about its internal state and current status, for example, API call volume, HTTP status codes, and scaling events. Use this information to help determine when a response is required.",aws_compliance.control.cloudtrail_trail_integrated_with_logs,CloudTrail trails should be integrated with CloudWatch logs,Use AWS CloudWatch to centrally collect and manage log event activity. Inclusion of AWS CloudTrail data provides details of API call activity within your AWS account.,jetsweep-sandbox-cloudtrail-logs not integrated with CloudWatch logs.,arn:aws:cloudtrail:us-east-1:904513543354:trail/jetsweep-sandbox-cloudtrail-logs,alarm,,904513543354,us-east-1,,,Compliance,,,true,,,,,,true,true,true,true,true,true,,true,true,true,true,true,true,true,,aws,,true,AWS/CloudTrail,,true,,
